artist_name,artist_id,genres,popularity,followers
Amenazzy,6kq4GHwUcUojGIu0ziSNXf,"rap dominicano,reggaeton,trap latino,urbano latino",68,3174557
Jezzy,1y8spb5Thg0p5ybNtdk4tu,dembow dominicano,55,74498
La Perversa,4UcGO4hOufILa9qGd3KOCo,"dembow dominicano,trap dominicano",52,173659
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,"dembow,rap dominicano,trap latino,urbano latino",78,3493981
Jey One,0B4uq7LA4vdVwFPDoOcVtw,dembow dominicano,62,261940
Sin Nombre,0b4EVanoJb8wkWF7QUA3uY,,43,8675
El Sicokario 42,3J7Uc1H7zS531UBr8cj0F5,,28,1806
Bigoblin,38m9i1Ro4UpoMLGuRm6bwq,trap dominicano,47,21662
Papera,0L7AJNWmGtSjzASON8eTDW,dembow dominicano,51,68900
Rochy RD,4riOEaOW5hCeqomFDBk0aP,"dembow,dembow dominicano,rap dominicano,trap latino",62,1268714
Omar Montes,3lY9Fxceu60W1rbon7PkuF,"flamenco urbano,urbano espanol",75,750412
Isabel Aaiún,5qSwpcWU98AJITpF4USeC3,,65,26886
Lola Indigo,3bvfu2KAve4lPHrhEFDZna,spanish pop,73,1253849
Diegote,2V9MnjEMqwXm7sice07NQK,,58,51801
SAIKO,2O8vbr4RYPpk6MRA4fio7u,"trap latino,urbano espanol,urbano latino",78,1112208
Dei V,2YRyPiW98bpkARAS4B3OQP,"trap latino,urbano latino",81,1076344
Gonzy,4ixNZvQuuzCDxBsxO9zE6L,urbano latino,67,84173
El Bobe,3FtVhV92rZyHa7ot2ioG5a,drill espanol,63,128872
JC Reyes,0FwnPHExlRRxEZPLAi5tmG,urbano espanol,76,780738
Samuel G,4wJrOCb0eBFfnD4bYqtYKI,flamenco urbano,59,6936
Morad,4az97MtWmBQ5Db3GfDh9j9,"drill espanol,urbano espanol",79,3246486
Cyril Kamer,3J1MhhyXLJRNRZVrx11Lbf,drill espanol,62,377079
Sky Rompiendo,51XrH5fQP2oIQynuKxSWcW,"trap latino,urbano latino",71,202146
Rvfv,2CCgb0KApjfQDuTppovpf8,"drill espanol,flamenco urbano,urbano espanol,urbano latino",75,675747
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,"colombian pop,latin pop,reggaeton,reggaeton colombiano,urbano latino",79,22617029
Cruz Cafuné,0jeYkqwckGJoHQhhXwgzk3,"rap canario,urbano espanol",69,381376
