artist_name,artist_id,genre
Milo j,19HM5j0ULGSmEoRcrSe5x3,trap latino
Milo j,19HM5j0ULGSmEoRcrSe5x3,urbano latino
DJ Tao,5CA5IqbsFr4hpNLdjgO0BU,cumbia 420
DJ Tao,5CA5IqbsFr4hpNLdjgO0BU,cumbia pop
DJ Tao,5CA5IqbsFr4hpNLdjgO0BU,previa
Bhavi,7fT2Me47PQ8T7954PKrcwR,argentine hip hop
Bhavi,7fT2Me47PQ8T7954PKrcwR,trap argentino
Bhavi,7fT2Me47PQ8T7954PKrcwR,trap triste
Emanero,2BTS8Np1YzPQuXjgdlqsBB,argentine hip hop
Emanero,2BTS8Np1YzPQuXjgdlqsBB,rap conciencia
Emanero,2BTS8Np1YzPQuXjgdlqsBB,rap underground argentino
No Te Va Gustar,4ZDoy7AWNgQVmX7T0u0B1j,latin alternative
No Te Va Gustar,4ZDoy7AWNgQVmX7T0u0B1j,reggae uruguayo
No Te Va Gustar,4ZDoy7AWNgQVmX7T0u0B1j,rock en espanol
No Te Va Gustar,4ZDoy7AWNgQVmX7T0u0B1j,rock uruguayo
Thomy DJ,1owf6hAeplDLF3a8lwI6kY,
DobleP,2eXWodjj5K1vVq2CSjl036,
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,corridos tumbados
Peso Pluma,12GqGscKJx3aE4t07u7eVZ,sad sierreno
Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,corrido
Oscar Maydon,3l9G1G9MxH6DaRhwLklaf5,sierreno
Junior H,7Gi6gjaWy3DxyilpF1a8Is,corrido
Junior H,7Gi6gjaWy3DxyilpF1a8Is,corridos tumbados
Junior H,7Gi6gjaWy3DxyilpF1a8Is,musica mexicana
Junior H,7Gi6gjaWy3DxyilpF1a8Is,sad sierreno
Junior H,7Gi6gjaWy3DxyilpF1a8Is,sierreno
Tito Double P,5eumcnUkdmGvkvcsx1WFNG,corrido
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,corrido
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,corridos tumbados
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,sad sierreno
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,sierreno
Nueva H,0AY6tq934rmw7zSFRl6e6S,
Grupo Firme,1dKdetem2xEmjgvyymzytS,banda
Grupo Firme,1dKdetem2xEmjgvyymzytS,musica mexicana
Grupo Firme,1dKdetem2xEmjgvyymzytS,norteno
Grupo Firme,1dKdetem2xEmjgvyymzytS,sierreno
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,corrido
Gabito Ballesteros,6Sbl0NT50roqWvy746MfVf,sierreno
Kevin AMF,1XtR9vPQD6cjmHlR5PuHPu,urbano mexicano
emmanuellcortess_,7hDt3OE2ubsKzO9rMYPXox,
Bizarrap,716NhGYqD1jl2wI1Qkgq36,argentine hip hop
Bizarrap,716NhGYqD1jl2wI1Qkgq36,pop venezolano
Bizarrap,716NhGYqD1jl2wI1Qkgq36,trap argentino
Bizarrap,716NhGYqD1jl2wI1Qkgq36,trap latino
Bizarrap,716NhGYqD1jl2wI1Qkgq36,urbano latino
Belinda,5LeiVcEnsZcwc133TUhJNW,latin arena pop
Belinda,5LeiVcEnsZcwc133TUhJNW,latin pop
Belinda,5LeiVcEnsZcwc133TUhJNW,mexican pop
